date,company,narrative,location1,location2,city,weather,lighting,veh1_dir,veh2_dir,veh1_speed,veh2_speed,type,headon,sideswipe,rearend,broadside,hitobject,overturned,vehped,other_type,revision_star
12/3/18,Waymo,"A Waymo Autonomous Vehicle (""Waymo AV"") was traveling in autonomous mode on northbound View Street at California Street in Mountain View, approaching a four-way intersection with a traffic calming island. After coming to a complete stop at a two-way stop sign, the Waymo AV determined it was safe to proceed through the intersection and began to do so, when it detected a bicyclist approaching from the right. The Waymo AV then stopped for the bicyclist, whose front tire made contact with the passenger side of the stationary Waymo AV at approximately 3 MPH. The bicyclist remained upright and rode away without exchanging information. No injuries or damage were reported or observed.",Intersection,"View Street, California Street",Mountain View,Clear,Daylight,Stopped,Proceeding Straight/Slowing/Stopping,0,3,broadside,0,0,0,1,0,0,0,0,1
12/1/18,Cruise,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was proceeding straight after completing a left turn from northbound Cyril Magnin Street onto westbound Ellis Street when another vehicle, attempting to pass the Cruise AV on the left , made contact with the left rear bumper of the Cruise AV, damaging the left rear wheel well of the Cruise AV. There were no injuries and police were not called.",Intersection,"Cyril Magnin St., Ellis St. ",San Francisco,Raining,Daylight,Proceeding Straight,Making Left Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
11/29/18,Waymo,"This OL3 16 is being submitted as an update to the OL3 16 concerning the collision on 1112912018 and originally signed 1211912018 (listed on dmv.ca.gov as: https://www.dmv.ca.gov/portal/wcm/connect/eb71d37f-Od7d-4d05-a268-c6e7db7b0b03/'Waymo_l l 2918.pdf?MOD=AJPERES&CVID=) . . åá A Waymo Autonomous Vehicle (""Waymo AV"") was stopped ih autonomous mode on Middlefield Road at Oregon Expressway in Palo Alto when a county bus came in contact with theåá passenger side mirror, pushing it towards the AV. The Waymo AV was stopped at a red light, and the bus was ma~ !1g a right-on-red in the adjacent right turn lane. The Waymo AV sustained minor damage to the mirror, and the bus did not stop to exchange information. There were no injuries reported",Intersection,"Middlefield Road, Oregon Expressway",Palo Alto,Clear,Dusk-Dawn,Stopped,Making Right Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
11/28/18,Waymo,"A Waymo Autonomous Vehicle (""Waymo AV"") was in autonomous mode at the merge onto northwest-bound Central Expressway exiting the ramp from northeast-bound San Antonio Road in Palo Alto when it was rear-ended. The Waymo AV stopped to yield to traffic on Central Expressway, after which the passenger vehicle immediately behind the Waymo AV struck the Waymo A V's rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the other vehicle had no apparent damage. No injuries were reported at the scene.",Intersection,"San Antonio Road, Central Expressway",Palo Alto,Cloudy,Daylight,Stopped/Merging,Proceeding Straight,0,2,rearend,0,0,1,0,0,0,0,0,1
11/20/18,Zoox,"On November 20,2018, at approximately 10:04PM,a Zoox vehicle in autonomous mode made a gradual stop at the stop sign at the intersection of Stockton St and Lombard St. While waiting and stopped at the stop sign, the Zoox vehicle was rear-ended by an Infiniti M35. The lnfiniti made contact with the rear bumper of the Zoox vehicle . The Infiniti was traveling at approximately 5-10mph when it hit the Zoox vehicle. There were no inj uries and no visible damage to either vehicle.",Intersection,"Stockton St., Lombard St.",San Francisco,Clear,Dark-Street Lights,Stopped,Proceeding Straight/Slowing/Stopping,0,43595,rearend,0,0,1,0,0,0,0,0,0
11/14/18,Waymo,"A Waymo Autonomous Vehicle (""Waymo AV"") was stopped in autonomous mode on the off-ramp from westbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo A V 's rear bumpe at approximately 9 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to the front bumper. No inj uries were reported at the scene.",Intersection,"Alma Street, Oregon Expressway",Palo Alto,Cloudy,Dusk-Dawn,Stopped,Proceeding Straight,0,9,rearend,0,0,1,0,0,0,0,0,0
11/7/18,Waymo,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode from southbound Alma Street onto southbound Oregon Expressway in Palo Alto was stopped and yielding to traffic while waiting to make a right turn at a stop sign when it was rear-ended by a passenger vehicle traveling at less than 1 MPH. The Waymo AV sustained minor damage to the bumper, and the passenger vehicle had minor damage to its front bumper. No injuries were reported at the scene.",Intersection,"Alma Street, Oregon Expressway",Palo Alto,Clear,Daylight,Stopped,Proceeding Straight,0,1,rearend,0,0,1,0,0,0,0,0,0
11/6/18,Cruise,"A Cruise autonomous vehicle ("" Cruise AV"" ), operating in autonomous mode, was proceeding northbound on Steiner Street at the intersection with Haight Street on a green light when a cyclist, traveling westbound through a red light, made contact with the right rear corner of the Cruise AV. The cyclist mentioned right shoulder pain, but denied needing an ambulance and left the scene on his own. The police were not called.",Intersection,"Steiner St., Haight St.",San Francisco,Clear,Dark-Street Lights,Proceeding Straight,Proceeding Straight,N/A,N/A,broadside,0,0,0,1,0,0,0,0,2
10/24/18,Waymo,"A Waymo Autonomous Vehicle (""Waymo AV"") in autonomous mode was stopped to check for oncoming traffic while in a slip lane to turn from Shoreline Boulevard onto El Camino Real in Mountain View when it was rear ended by a passenger vehicle. The Waymo AV sustained moderate damage to the rear left ofthe vehicle, and the passenger vehicle had moderate damage to the front right ofthe vehicle. No injuries were reported at the scene.",Intersection,"Shoreline Blvd., El Camino Real ",Mountain View,Clear,Daylight,Stopped,Making Right Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
10/15/18,Waymo,"A Waymo A utonomous Vehicle (""Waymo AV"") traveling in Autonomous mode southbound on Shoreline Boulevard, in the right hand slip lane, turning right onto westbound El Camino Real in Mountain View when the Waymo AV came to a stop to yield to approaching traffic from the left, when it was struck from behind by a passenger vehicle. T he Waymo AV sustained minor damage and the passenger vehicle had minor damage. T here were no injuries reported at the scene.",Intersection,"Shoreline Blvd., El Camino Real ",Mountain View,Clear,Daylight,Stopped,Making Right Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
9/18/18,Waymo,"A Waymo autonomous vehicle("" Waymo AV"" ) in autonomous mode was rear ended after entering the parking lot at l 00 Mayfield Ave. The Waymo AV was yielding for an oncoming vehicle while preparing to make a left turn inside the parking lot. There was minor damage to both vehicles and no injuries reported at the scene by either party",Parking lot,"100 Mayfield Ave,",Mountain View,Clear,Daylight,Making Left Turn ,Proceeding Straight,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
9/14/18,Waymo,"A Waymo autonomous vehicle (""Waymo A V"") was stopped in A utonomous mode in the sliplane of Villa St. and Shoreline Blvd. in Mountain V iew when a passenger vehicle struck the rear of the Waymo AV at low speed. T he Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle had minor damage to the front bumper. No injuries were reported at the scene.",Intersection,"Villa St., Shoreline Blvd.",Mountain View,Clear,Daylight,Stopped,Making Right Turn,N/A,N/A,rearend,0,0,1,0,0,0,0,0,2
8/24/18,Waymo,"A Waymo autonomous vehicle (""Waymo AV"") in autonomous mode traveling southbound on San Antonio in Palo Alto, CA was stopped to yield to cross traffic when it was rear ended by a vehicle traveling at approximately 5 mph at the time of the collision. There was minor damage to both vehicles and no injuries reported at the scene by either party",Intersection,San Antonio,Palo Alto,Clear,Daylight,Stopped,Proceeding Straight,0,5,rearend,0,0,1,0,0,0,0,0,0
